userName,score,content
FREDI FRADANA,5,aplikasi ya sih bagus simpel tpi tolong dong apk ya di perbaiki soalnya selalu delay di device saya padahal ram 8/128 internet full hp kelas menengah ke atas harga 3jt an masa kalah sama apk sebelah yg bgtu lancar...
Mohamad Sofian,5,"sekarang baru ngerti ...ini app bisa membantu untk transaksi sehari """
Tety Nurhayati,5,"Aplikasinya bagus, tp kenapa ya sekarang itu tiap kali mau transfer / isi e wallet / tarik tunai slalu gagal trus keterangannya cek status. pdhl sebelum2nya lancar2 aja..?"
Gus Ipul Official (Gus Ipul),5,memudahkan transaksi
Adresia Rere,5,ok bgt.
wulandarii,2,yaampun apl minta di restart muluu udh di uninstall di install lagi ttep gak bisaa masuk tolong lahhhhh jgn bikin kecewa gini udh lama pake blue berharap lebih baik malah lemot
Yolan Yusdinda,5,"cukup membantu dan mudah , asal jangan ada potongan agak mahal kayak d sebelah"
Silke Syahidah,1,"Ya ampun mau buka rekening sulit bgt, tinggal video call customer service udh sabar nunggu antrean gada yg angkat, coba telpon lagi malah ngulang antrian dari awal hadehhh dah lah males."
Aura Aulia,4,"so far untuk pembukaan rekeningnya aman. cuma saran saya, blu bca ttp harus upgrade dari segi kecepatan layanan di aplikasi. fiturnya udeh oke nih, beda dr yg lain krn ada saku untuk nabungnya. udah menang lah istilahnya, tapi kalo layanannya lemot.. ya ttp kalah. saku gaakan jd nilai plus jangan iya-iya aja, ya. tolong perbaiki & denger review konsumen untk perbaikan ke depannya. kita butuh bukti nyata, bukan sekadar omongan. good luck blu bca."
Dara Mawar,5,Plissss jangan harus update terussss😩
Mariani Ulpah,5,tolong untuk pembayaran di Alfa atau Indomaret QR pembayaran blm ada
Muhamad Arafi,1,"KAMERA VERIF EROR TRUS,PASTIKAN KAMERA TIDAK BERGERAK"
Kerinci Gaming,5,aplikasi yang sangat bagus
rYans Sopiyan Sauri,5,sangat bermanfaat
Arka Nana,3,aga aneh skrg pemakaian reward cashback nya tidak bisa dilakukan . pdhl sdh tertera tenant yg ikut promo cashback tpi tdk bisa dilakukan . percuma dong download blubca lagi . sblmnya udh sya haps krna ada bbrp yg menaruk mnrt saya ya sya download lagi ini malah aneh
endang supriatna,5,mantap banget pokoknya dan sangat membantu saya
Lanesva Elsi,5,saya sangat suka pake blu digital tp kok di kota saya blom ada pinjaman buat nasabah yah
Frisco Noveri,5,sangat bagus dan cepat
Sandi Wahyudi,4,"cukup baik, tolong perbaiki : 1. Tolong beri waktu lebih lama ketika user lagi keluar dari aplikasi blu, jangan baru keluar 10-15 detik dari aplikasi, balik lagi ke laman awal login aps. 2. Responsibilitas saat pindah antar menu dalam aplikasi diperbaiki biar lebih gesit."
Sugeng,5,josss
Oktober Limabelas,5,mantap sih klo kta aku. g ribet
Hengki Hanan,1,menyusahkan harus aktifkan scren lock.tapi kekunci semua ke layar hp.harusnya di bikin mudah seperti aplikasi bank digital yang lain layar kunci hanya ke aplikasi saja.
Deddy Mayhad,2,Saya sudah linked ke Tokocrypto tapi kenapa saya tidak bisa top up ke TKO? Saya ulang berkali kali kondisinya tetap sama.
NORPATMAWATI,4,"Kemarin tinggal tahapan akhir, malah dimatikan oleh CS nya"
J ADI WIBOWO,5,Mantap sekali pasti berguna terima kasih
Imronesia,4,oke. mulai banyak promo lagi setelah satu tahun kemarin sepi
Rafly Kasim,5,Bosku saya tidak bisa download aplikasi blu by BCA Digital
Naravis,2,banyak biaya gajelas
ella rai,5,bagus buat menabunv
Yohanes Kwee,5,mantap
Riyanto Anidita,4,re pree
Eka Putriasih,5,saya sudah kirim email tapi tidak kjnjung dijawab. pas trasaksi juga gk dapat kode otp..... pljs ya.... perbaiki buknya. saya ini sudah lelah. untuk pembayaran pake kris juga ribet banget gak bisa ke ditek gambarnya... apalah. untung saya punya bank digital yang lain jadi bisa transaksi.
Moh Akbar Jujur Luqmana,2,percepat lagi dong apk nya terhambat sama lemotnya ini
Angri Novita Dewi,1,"update mulu, padahal ga ada kemajuan, loading lama bgt gila."
sakkot silalahi,5,blu sangat mempermudah transaksi
Saya Saya,5,sangat puas pke aplikasi ini...
Irhamsyah,1,"Lemot banget sumpah, mending pke my BCA"
Yamani 481,5,ok
yoko Sagitarius aja,5,mantap banget
Glenn,5,kreeeen amannn dan terjangkau mudah hamoir sama dengan apk DANA proteck keamanan terjamin i like it pokonya rekomen banget kalok mau nabung atau pakai bisnis onnline ini yg saya cari2 akhirnya ktmu dngan apk ter amanah 🥰🥰🥰🥰😞👍👍👍
Desfita_s,5,"UI bagus menu ga ribet, minus lelet aja sih kadang, sama saran dari aku tolong munculin barcode untuk bayar suka struggle Kalau belanja di Alfamart atau di market mana gt yg mengharuskan kode barcode"
Hari Sukamto,4,Akan lebih Ok kalo bisa di buka di 2 device seperti sebelah. sekarang rata rata orang sudah pake 2 device.
Abdil Band,4,agak ribet
Sigit Widigdo,5,bagus
Kayla Atun,5,maaf tapi saya apus soal nya saya gq ngerti cara nya
